A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
31,87,100,67,41,71,17,26,84,89,69,50,56,93,1,52,59,37,45,96,78,38,95,75,20,49,30,79,0,26,10,96,93,51,44,63,5,93,84,94,7,12,100,70,64,56,33,62,5,46,20,69,63,30,77,39,25,45,23,19,51,4,59,2,38,83,44,59,64,43,14,69,1,70,100,77,2,89,62,38,20,16,97,19,76,85,11,19,25,94,70,7,33,77,55,7,97,88,32,47,87,24,35,12,12,41,9,47,69,15,75,77,79,47,24,11,71,52,37,80,57,38,68,39,44,32,93,19,96,100,89,81,29,93,46,16,28,13,60,47,66,26,64,56,36,77,13,90,35,57,85,2,51,19,76,21,96,65,45,5,17,57,12,34,47,85,45,83,67,84,56,91,54,28,90,70,73,48,27,57,25,1,25,77,8,57,63,98,29,76,50,32,83,75,75,78,72,30,42,20
29,15,27,84,67,10,58,90,74,60,7,83,12,38,41,53,16,61,88,88,24,72,17,74,18,22,70,81,70,0,15,16,89,97,25,29,98,18,90,69,89,83,1,91,9,17,10,89,34,22,55,90,54,45,70,10,46,22,85,73,35,17,71,83,80,17,33,45,55,3,87,8,54,95,77,95,37,12,24,38,55,87,33,68,92,24,95,47,60,52,76,5,5,28,67,78,37,83,94,41,10,49,15,1,26,18,25,11,39,57,57,38,67,71,68,13,85,8,32,14,65,80,94,85,17,11,48,21,91,44,100,94,1,32,32,24,82,58,42,26,64,12,75,79,49,89,21,56,54,89,44,2,24,95,38,74,60,52,41,68,11,78,62,48,99,15,83,69,39,76,70,25,81,82,5,11,85,81,8,41,45,57,53,37,54,49,37,44,35,99,37,46,24,49,29,75,73,84,95,15
76,50,49,1,44,29,95,84,7,51,65,91,54,46,58,64,60,9,58,55,61,9,11,15,79,63,50,54,93,20,0,94,50,3,88,55,80,6,76,49,85,3,90,81,21,72,83,19,81,75,84,78,39,22,37,78,81,51,26,46,92,34,17,26,78,54,41,8,96,35,7,17,8,71,12,22,12,7,73,97,1,63,10,6,51,52,20,83,27,87,29,47,27,33,4,95,80,39,85,24,78,47,57,35,95,27,69,96,26,63,34,28,21,84,67,28,77,60,5,19,75,54,26,86,8,54,8,55,14,34,62,76,62,45,59,65,51,89,42,35,79,85,48,46,84,16,19,99,85,51,35,51,18,50,65,30,80,56,73,40,94,93,5,75,75,42,4,10,55,85,7,1,18,16,69,64,37,79,43,26,73,35,46,6,34,59,57,12,86,21,94,43,74,8,80,34,19,78,70,28
7,36,20,24,37,46,60,33,95,41,5,14,25,15,93,90,69,95,51,81,39,20,21,87,17,27,9,34,25,17,52,0,62,17,3,92,14,31,44,9,42,66,66,49,10,87,90,85,56,92,24,82,95,72,98,7,94,95,15,47,86,23,83,58,13,44,17,44,68,89,18,17,40,89,98,65,17,60,78,67,37,20,16,23,18,45,64,32,8,47,23,45,97,55,56,10,54,15,21,35,91,78,65,100,63,27,70,77,9,45,98,37,71,17,1,88,39,16,69,9,83,45,12,7,93,77,1,57,48,83,15,45,17,30,88,99,65,2,35,96,51,51,33,94,49,12,29,38,77,66,73,13,52,22,83,79,51,30,90,46,3,68,70,38,76,57,68,40,32,7,58,22,81,35,56,91,75,89,26,74,24,40,42,98,81,86,42,93,2,63,14,80,57,39,85,5,65,96,33,57
98,96,35,97,81,6,59,64,76,16,21,52,47,36,48,63,97,2,83,50,59,9,27,52,56,95,9,8,89,20,11,87,0,14,61,77,42,50,28,79,89,82,88,73,81,76,80,50,59,74,12,95,19,78,58,82,58,65,36,67,35,36,54,4,84,65,61,22,90,77,83,18,82,69,61,65,83,9,57,67,8,53,74,3,6,15,60,35,77,86,80,54,51,69,72,35,65,87,81,18,10,40,38,45,33,33,69,92,27,45,28,80,90,11,56,17,87,40,10,38,80,63,18,8,22,49,10,43,27,74,41,78,26,13,58,30,19,27,31,22,99,70,20,50,58,7,74,65,58,94,55,70,90,14,31,97,77,47,87,86,89,56,5,79,96,16,45,64,58,67,13,94,18,17,75,92,63,75,58,19,78,98,13,15,86,34,93,48,50,41,36,94,64,66,68,72,39,70,86,93
2,40,97,59,75,39,69,7,76,13,94,78,3,9,94,66,80,64,67,34,32,90,45,1,67,88,70,25,7,100,47,34,69,0,31,12,47,11,25,45,30,66,54,29,60,27,15,88,74,17,13,59,2,36,42,18,66,16,70,50,25,97,27,39,70,46,31,52,45,76,32,71,83,48,44,86,18,69,16,40,23,42,49,92,92,90,59,35,5,81,18,32,37,26,80,17,1,21,8,24,4,51,52,26,71,77,91,69,59,72,33,84,17,75,67,23,27,10,3,80,18,70,71,48,9,42,81,100,71,13,18,92,4,5,66,80,14,15,62,88,88,43,56,71,72,2,72,4,38,100,13,91,67,60,36,21,80,78,37,74,39,62,75,11,55,14,26,41,9,68,79,60,71,39,30,80,10,26,22,42,6,20,81,76,20,82,76,38,3,54,11,23,56,86,59,66,33,26,81,3
34,47,2,17,34,34,10,82,41,50,82,35,81,42,57,7,98,33,53,28,15,85,23,83,43,65,71,38,3,74,65,51,31,20,0,32,72,99,72,89,39,76,86,62,83,44,92,10,75,5,35,78,76,10,27,65,16,91,48,58,41,40,84,63,1,9,1,70,95,82,16,28,75,4,90,97,39,59,94,10,20,86,50,13,11,53,12,9,34,86,5,21,59,66,52,37,98,69,17,86,3,16,13,91,18,43,28,39,23,73,92,19,76,100,26,8,35,47,100,44,1,42,95,61,52,34,12,34,40,44,26,77,19,4,69,74,51,31,19,12,4,74,8,33,52,74,32,54,99,42,25,3,78,5,23,21,66,58,47,29,78,55,14,41,32,24,95,46,94,87,6,83,56,50,14,24,73,12,65,34,12,96,36,9,70,48,5,93,73,5,87,57,48,18,28,17,24,5,75,20
68,18,20,77,75,59,24,74,15,83,31,11,69,70,6,47,85,43,98,29,80,39,85,52,47,7,16,80,93,94,50,23,7,76,75,0,9,88,10,86,29,87,71,92,38,10,100,91,54,44,91,96,8,99,85,45,28,76,87,2,75,87,80,6,64,67,19,9,81,48,88,74,95,46,66,86,37,100,76,76,70,85,77,54,68,65,91,65,28,73,57,22,44,48,43,3,62,64,48,86,21,46,67,43,71,75,3,86,32,63,27,23,6,89,39,78,37,36,72,54,84,25,79,89,86,15,31,49,34,90,2,85,14,23,59,45,47,1,46,13,75,73,25,18,39,43,48,53,68,1,26,5,99,22,8,77,46,16,41,30,4,42,80,90,65,90,92,100,87,67,73,52,26,49,61,70,88,93,51,15,50,90,49,66,25,52,51,38,90,22,88,32,81,73,17,38,55,54,91,87
88,51,99,28,26,98,88,56,61,28,2,32,2,31,30,54,21,10,99,41,50,49,96,40,38,96,47,7,20,44,15,15,36,41,47,99,0,21,80,54,72,54,39,24,73,59,71,93,71,9,43,24,74,84,98,41,54,29,91,61,56,81,6,45,59,8,86,53,52,49,62,52,43,98,78,42,90,6,46,28,60,37,58,35,37,45,19,100,18,78,77,24,55,23,62,22,65,41,57,53,96,22,24,32,20,73,68,49,36,64,32,2,33,61,35,6,52,23,16,77,86,37,12,19,77,95,36,20,28,35,92,82,79,61,91,46,10,8,8,84,55,24,89,98,45,8,36,77,14,11,24,26,84,59,52,83,22,29,61,28,80,46,78,100,91,2,87,43,53,55,32,97,9,50,87,67,68,96,50,95,93,19,59,91,27,22,91,96,43,26,24,45,94,76,66,14,5,32,96,42
47,27,65,20,76,94,68,69,41,20,20,31,98,56,23,83,42,39,68,84,71,35,51,94,65,46,75,94,13,50,55,6,49,39,58,88,39,0,4,95,46,6,87,57,25,82,77,65,72,25,40,63,22,6,7,8,13,81,97,50,71,44,31,38,59,87,52,34,43,4,59,83,6,52,1,39,86,81,36,46,52,54,92,66,65,75,40,1,86,16,39,12,37,2,76,67,71,56,21,60,80,82,4,1,41,55,10,81,14,37,65,17,69,92,60,61,17,57,24,92,95,58,94,52,36,55,93,74,7,57,56,49,5,29,67,91,55,71,7,78,48,79,83,7,59,30,24,73,39,74,28,15,3,49,50,41,91,70,20,20,26,68,1,100,69,44,94,94,81,73,28,89,40,100,28,59,64,87,51,74,53,42,24,62,56,21,46,99,6,20,22,40,81,94,13,64,98,29,28,46
66,18,36,92,79,24,95,86,16,53,62,79,14,31,71,99,6,26,100,43,29,61,8,89,93,65,88,70,69,51,89,3,18,35,91,34,15,97,0,92,60,31,25,19,53,32,30,45,43,14,28,66,38,24,81,69,56,36,26,16,92,19,57,65,48,36,68,78,63,11,80,94,83,12,45,60,62,11,31,66,77,13,61,1,37,16,7,59,36,58,6,4,86,27,13,53,46,92,19,24,28,79,69,64,19,5,48,98,64,55,35,41,71,52,27,80,64,93,8,44,83,79,100,29,58,94,99,61,29,14,57,45,97,29,47,92,23,91,54,54,95,1,21,92,80,72,55,69,37,12,20,4,96,68,39,31,12,52,37,50,7,42,57,18,95,78,12,15,13,72,76,23,47,100,42,39,73,56,11,2,49,10,96,43,99,12,24,5,57,18,2,8,22,52,44,93,34,46,41,38
34,12,98,80,62,50,17,97,30,6,78,81,38,2,77,15,67,35,87,34,52,39,95,35,46,15,55,50,88,30,92,100,100,24,98,44,5,52,22,0,61,35,70,57,30,73,19,41,51,41,46,49,68,3,18,52,86,17,20,88,84,42,90,71,13,58,63,87,14,62,27,98,75,24,35,97,81,98,24,41,68,42,13,14,26,80,83,28,70,35,60,55,25,85,35,67,87,80,61,47,58,65,8,12,66,68,60,93,80,60,8,44,9,86,82,75,97,51,24,11,48,29,54,21,65,39,58,71,70,95,79,66,50,1,29,67,13,7,74,59,21,96,39,19,58,98,38,43,15,61,47,23,14,43,80,16,14,7,18,85,67,71,73,61,25,24,56,65,2,29,99,40,90,64,21,76,37,74,75,30,29,81,45,31,42,12,27,76,19,80,61,71,22,93,16,60,52,51,14,70
32,43,12,47,70,77,81,93,42,45,12,86,33,60,52,34,71,84,43,37,17,24,85,91,41,95,47,62,45,22,36,17,92,52,35,69,100,83,49,29,0,49,43,24,60,1,35,65,34,18,64,71,94,9,92,81,11,53,53,79,47,47,5,72,44,9,75,34,78,47,48,58,37,66,42,96,3,81,19,57,87,26,45,94,39,14,60,58,57,47,95,16,32,79,6,54,61,19,58,70,10,63,60,80,75,77,69,44,5,6,25,27,80,88,99,70,68,100,81,65,46,67,19,96,1,22,84,73,56,46,75,53,87,97,76,18,33,80,30,6,80,51,70,88,13,11,52,2,100,73,53,12,91,81,32,3,93,54,45,22,30,16,14,14,38,43,35,56,34,7,63,82,26,61,8,5,70,8,71,53,25,56,47,23,97,43,74,56,23,24,93,22,30,98,57,58,12,57,89,30
51,26,83,74,7,69,1,57,14,88,78,53,22,23,64,85,19,78,69,35,46,30,53,98,98,34,56,12,99,81,51,50,19,23,98,100,36,78,24,5,89,0,81,5,100,75,31,54,53,8,66,5,37,8,40,3,9,55,16,20,59,66,79,46,40,38,14,48,87,5,2,95,67,1,62,18,28,98,74,29,69,12,47,57,32,25,33,99,91,10,55,59,77,90,96,19,76,74,3,1,89,4,12,61,31,87,21,34,67,64,18,91,8,27,40,11,96,39,15,52,72,94,70,89,93,84,95,41,3,74,89,57,2,32,58,35,94,86,29,5,42,80,2,14,14,18,17,32,54,8,89,60,5,3,34,33,90,47,86,83,68,23,76,100,52,92,47,45,73,59,65,50,58,22,56,49,24,56,25,50,41,67,86,82,41,94,53,83,24,15,13,15,19,56,63,63,24,57,24,68
11,47,48,80,28,32,35,7,61,72,51,65,93,43,76,77,34,3,53,21,46,96,45,66,64,15,77,33,37,2,60,68,12,14,25,79,96,33,32,47,27,20,0,59,56,100,86,82,56,68,31,20,41,57,92,71,12,94,8,10,92,99,73,29,87,56,2,59,27,16,80,82,65,97,11,52,64,55,26,16,63,69,32,18,40,29,65,59,22,45,85,31,26,1,14,12,27,80,14,44,13,62,21,31,96,7,58,19,41,97,82,26,34,29,74,75,88,2,65,89,77,84,72,7,80,55,52,18,7,82,82,71,85,29,31,81,39,16,78,64,25,23,98,52,66,18,12,96,18,66,61,59,37,50,17,24,18,88,96,61,19,92,66,31,26,58,75,13,28,61,1,40,52,78,89,33,55,58,49,67,98,100,60,72,17,73,55,92,23,11,20,42,19,13,17,77,85,35,10,61
44,27,9,92,38,42,54,17,10,71,60,10,75,76,43,82,15,95,45,18,38,17,32,61,37,19,54,91,80,31,16,9,9,27,5,79,88,71,87,56,75,97,91,0,98,98,2,6,5,59,85,35,67,68,22,92,39,3,61,22,18,43,28,54,35,37,13,34,41,56,92,39,36,59,70,56,64,64,36,61,15,95,79,90,44,66,10,66,44,4,48,27,71,16,71,39,64,55,34,39,57,79,84,35,59,48,55,85,35,62,51,10,79,60,89,31,49,83,71,43,95,51,45,23,31,73,79,9,3,99,57,28,52,96,52,26,28,26,1,67,19,47,52,50,28,18,80,64,30,12,53,34,83,19,97,42,46,13,81,67,72,4,57,56,92,73,22,78,74,12,12,92,93,100,63,73,47,92,57,16,24,75,17,96,57,53,100,11,99,65,24,14,22,79,44,2,57,68,59,50
8,53,12,33,54,80,58,36,47,18,58,65,6,64,12,35,71,66,46,83,93,14,18,28,81,51,90,64,67,57,78,5,36,92,85,87,21,28,15,50,47,41,65,48,0,33,24,88,95,98,14,84,58,95,80,33,86,67,93,96,67,17,12,1,9,32,57,37,44,13,65,29,15,48,81,76,8,28,100,46,31,12,12,42,61,32,32,18,72,89,10,45,77,9,93,75,8,57,64,71,53,73,44,3,28,33,69,70,51,38,79,14,61,21,61,100,38,21,64,93,5,7,42,57,59,71,43,32,45,16,74,93,47,60,49,27,59,68,8,75,95,66,67,75,4,65,57,23,87,92,51,55,97,11,33,47,26,88,73,12,54,33,82,30,5,6,12,76,8,69,52,13,29,22,14,35,28,81,7,74,17,67,59,91,88,14,54,56,7,53,24,94,49,59,55,2,13,11,35,64
99,85,46,88,49,15,93,37,9,20,51,70,50,58,59,39,11,52,94,41,78,70,42,86,48,88,6,43,46,32,51,52,51,63,18,76,61,84,79,80,72,59,99,18,38,0,100,38,2,30,48,21,61,94,14,69,15,70,73,93,93,41,13,51,90,3,30,14,12,99,74,69,76,94,31,36,14,30,83,83,2,5,13,88,56,30,7,96,89,77,1,93,26,24,79,1,26,89,35,96,98,91,34,7,47,70,10,92,54,55,72,33,80,94,96,41,80,36,40,54,1,100,69,21,76,56,60,7,2,29,35,43,95,26,99,71,82,52,29,94,53,28,31,30,73,65,19,71,100,64,47,29,26,1,68,61,52,100,83,7,21,35,22,66,21,42,46,92,97,93,73,45,12,21,63,8,62,2,9,92,30,80,87,72,22,71,38,72,14,92,41,24,19,2,80,62,36,60,41,63
8,54,44,90,76,22,25,15,12,49,94,82,39,7,81,23,28,67,24,79,80,63,3,74,7,53,67,52,8,98,15,89,47,74,90,81,41,4,49,80,79,18,85,69,18,60,0,81,97,7,20,13,24,17,76,95,10,62,1,94,8,23,36,87,69,92,72,64,16,69,42,71,68,8,60,32,44,10,83,86,78,22,65,37,88,11,52,50,3,36,68,72,1,97,44,13,56,98,22,14,53,64,94,6,29,57,66,48,23,37,2,67,54,9,48,85,66,75,91,27,51,30,91,87,48,34,71,56,93,67,68,73,21,100,97,86,60,24,94,8,58,38,22,70,82,53,42,77,37,46,14,3,78,42,26,7,65,30,90,77,18,59,23,56,4,79,81,10,85,76,63,69,14,76,13,21,47,48,50,34,24,9,39,92,23,40,19,42,17,35,74,75,1,43,97,88,81,86,16,93
17,27,88,85,16,36,36,69,13,55,61,46,79,67,67,59,28,51,33,13,44,74,94,62,39,18,51,100,65,92,49,91,81,2,68,71,67,71,63,16,24,55,6,84,65,6,66,0,34,15,58,94,100,79,25,27,43,29,47,26,56,2,14,4,73,60,65,70,100,14,80,28,84,71,51,13,44,28,69,12,43,47,48,81,1,46,53,74,63,27,86,96,8,93,51,28,42,50,53,14,24,10,70,5,37,22,4,14,17,96,38,64,42,68,85,74,35,22,95,76,96,56,73,78,82,32,71,72,100,10,96,23,10,65,49,36,13,80,57,35,32,2,64,23,79,41,84,73,75,99,42,60,54,52,50,100,66,10,9,70,38,32,49,38,71,30,84,61,60,14,68,18,82,30,51,64,51,27,33,73,79,64,84,2,49,26,13,37,33,77,35,62,45,91,35,87,39,86,6,88
89,1,48,27,89,62,51,93,50,19,84,89,78,100,65,34,16,62,80,21,34,31,2,15,54,6,4,87,77,62,55,10,18,33,45,100,70,5,71,2,85,65,18,56,15,10,16,8,0,93,46,52,45,22,38,91,9,90,64,49,20,12,1,51,98,81,16,35,86,28,79,29,18,29,80,31,4,55,96,54,52,43,53,41,50,79,60,84,79,14,50,41,45,40,31,47,44,56,83,19,77,49,19,83,52,27,60,22,18,34,49,39,28,68,87,20,37,94,49,27,44,20,86,73,22,67,79,80,89,61,78,6,33,27,10,54,31,83,50,19,86,60,4,67,65,96,69,27,95,92,21,100,99,89,77,70,74,14,24,88,74,64,40,7,91,45,77,98,59,27,100,41,24,70,76,83,44,77,18,100,63,58,23,47,86,57,80,71,78,46,66,39,79,50,85,61,99,61,18,78
48,7,46,21,76,58,45,56,71,66,49,73,93,59,50,94,10,67,2,24,46,28,7,41,33,70,23,36,25,63,89,60,90,88,66,62,11,56,77,1,71,83,57,30,47,12,62,69,33,0,68,22,57,98,28,45,37,74,46,94,100,55,38,5,56,43,80,42,76,5,4,58,20,17,66,80,54,4,46,65,19,15,70,31,90,16,49,9,1,43,30,53,32,91,71,18,19,8,44,83,20,66,28,59,71,47,35,65,73,14,72,81,33,43,93,28,25,14,97,7,73,43,81,93,52,25,82,5,14,4,80,22,79,99,6,31,67,43,96,72,51,9,36,10,63,85,88,37,10,15,72,99,5,71,60,28,28,59,67,46,76,1,30,20,88,44,85,13,25,54,99,82,31,31,97,3,48,57,98,64,33,75,37,37,98,41,80,31,96,44,89,81,73,26,2,72,21,6,81,76
49,1,33,3,22,54,14,6,81,59,85,22,80,69,88,76,92,97,5,77,70,30,13,89,8,91,71,86,46,43,67,3,1,3,100,33,65,17,27,31,43,94,28,58,40,51,76,75,64,31,0,90,64,34,39,52,65,23,65,52,22,62,54,13,74,19,46,72,73,8,37,57,24,85,11,18,93,81,84,91,80,33,64,9,32,93,87,6,2,26,22,7,66,82,95,30,51,32,7,86,64,6,91,52,12,24,61,97,7,53,4,83,6,63,58,59,2,70,35,93,40,92,83,89,60,65,59,1,8,46,74,14,87,31,83,21,41,3,28,30,70,65,91,40,55,4,16,59,6,72,26,53,55,18,75,23,14,7,25,66,9,68,85,41,47,39,79,22,51,100,2,51,84,19,88,41,59,71,67,75,29,15,30,47,26,41,29,19,68,82,57,63,82,93,64,28,41,69,64,58
91,63,8,69,83,4,65,98,55,23,22,41,56,8,64,33,6,36,39,78,56,89,76,54,80,51,61,38,12,20,51,3,93,49,31,51,79,56,86,12,100,42,46,50,56,64,95,82,62,27,97,0,61,19,64,17,3,46,82,83,76,37,52,26,55,88,78,8,22,73,93,31,91,60,40,18,47,8,83,71,16,36,58,80,75,32,81,11,85,8,92,68,78,38,13,84,72,45,82,37,80,56,8,74,76,87,42,48,47,65,48,58,89,2,65,43,29,85,43,75,12,4,32,66,78,72,90,65,69,77,82,99,6,76,22,29,81,48,67,39,14,1,47,10,72,60,17,32,81,64,85,93,24,63,3,3,84,37,68,86,1,50,77,44,33,66,37,35,36,58,8,58,91,94,52,93,46,58,32,36,46,6,54,58,87,23,86,95,99,20,90,72,75,56,22,31,1,36,85,19
63,77,16,1,46,23,55,41,18,44,67,95,46,72,94,37,19,43,40,61,73,27,57,75,65,39,15,97,45,20,70,29,50,68,44,37,8,25,96,32,46,11,38,48,49,67,52,87,40,52,82,6,0,6,70,60,96,51,77,72,36,19,43,69,77,64,11,56,73,91,63,34,56,21,64,100,53,7,24,86,8,25,24,38,53,45,86,60,25,95,28,7,62,51,49,19,19,36,46,58,17,19,71,57,27,17,1,87,19,88,18,58,17,52,88,24,22,62,46,27,56,25,20,23,64,97,14,37,19,82,37,34,93,99,14,69,89,42,22,9,29,94,47,84,74,59,10,65,55,43,23,78,26,80,48,50,78,68,62,89,98,66,26,88,1,72,89,13,81,45,52,58,51,9,95,24,12,51,54,60,23,10,89,25,43,89,95,13,55,19,41,26,39,50,12,67,74,46,27,36
60,11,37,88,19,60,46,66,32,44,69,84,84,11,21,94,75,53,45,49,39,10,84,73,59,91,82,8,16,6,96,92,83,30,22,84,59,66,77,100,60,57,67,96,43,89,64,40,37,65,66,89,50,0,59,30,11,64,60,9,41,90,72,29,6,57,48,18,18,53,22,70,76,5,84,77,52,49,83,51,19,90,67,22,48,64,95,20,56,21,20,55,45,85,35,16,24,84,96,10,90,28,7,79,15,34,16,14,74,48,40,1,20,87,8,35,13,29,65,54,36,33,71,11,31,53,52,75,35,65,56,53,92,71,43,43,82,85,91,57,46,79,44,65,100,32,35,100,77,27,48,70,33,2,85,63,14,75,19,21,8,68,1,67,85,50,8,23,43,69,19,11,39,9,67,47,65,13,30,92,38,46,36,22,82,32,96,8,100,51,33,89,62,28,45,70,57,27,89,5
71,53,9,77,33,51,23,19,15,40,10,80,55,100,79,62,27,39,31,33,13,80,9,37,81,65,32,64,94,49,90,81,85,95,68,55,83,61,57,90,30,54,14,8,55,16,88,69,56,86,37,56,57,68,0,25,6,21,72,10,75,26,65,90,21,31,54,76,87,82,4,49,33,8,33,17,36,61,29,10,39,65,9,99,95,70,50,29,7,50,73,32,58,43,79,37,66,1,43,66,2,43,48,27,45,52,9,28,42,83,87,77,74,92,80,73,26,65,43,2,75,94,4,28,1,42,89,19,19,67,60,61,84,52,53,39,100,23,30,37,56,18,18,36,89,31,4,71,25,27,68,75,55,42,40,40,70,13,82,25,49,44,57,15,57,54,1,28,19,2,73,82,37,10,46,52,21,93,20,80,37,64,39,19,56,48,4,72,56,91,82,49,8,14,25,56,15,24,83,63
33,96,39,69,93,93,73,62,76,24,76,49,57,74,85,42,70,89,4,98,59,97,98,80,82,73,51,100,99,74,16,46,1,3,22,5,10,28,2,17,95,87,80,89,39,75,50,76,68,96,88,46,15,59,17,0,32,89,95,58,7,20,5,40,63,69,80,10,7,2,26,46,100,97,76,34,72,25,44,42,90,19,36,68,59,91,28,93,68,49,89,27,50,50,43,98,13,92,74,48,41,91,45,22,54,98,95,72,3,56,6,67,31,29,47,60,35,28,31,77,86,81,67,72,70,29,29,91,20,59,27,42,36,33,3,37,5,95,80,37,99,74,28,10,24,87,11,59,18,20,65,56,81,61,19,6,38,53,56,90,85,31,34,88,36,86,27,43,20,45,83,86,31,72,27,66,66,84,24,57,7,10,43,4,30,56,62,71,52,56,95,17,84,59,55,13,94,52,98,93
27,49,11,50,77,87,16,84,52,62,79,8,55,26,7,54,43,54,11,6,88,76,85,88,38,40,28,22,87,100,7,52,56,61,55,35,47,52,94,70,85,62,80,64,71,65,91,35,74,51,13,5,68,34,25,85,0,22,64,25,4,66,29,20,69,81,17,20,83,45,72,91,53,93,60,93,81,1,37,50,83,43,25,69,54,41,83,13,40,18,63,9,94,36,94,52,71,71,81,70,68,12,89,28,80,77,2,42,45,25,8,47,22,7,89,7,100,28,93,19,73,55,69,12,98,85,82,90,11,82,59,63,7,14,60,13,30,14,19,50,27,24,70,14,44,94,70,75,58,18,57,73,99,75,25,87,38,89,63,11,55,54,39,45,15,74,13,15,83,77,68,83,2,63,43,82,68,60,14,82,2,82,100,63,56,99,92,95,93,54,55,15,69,65,81,1,73,43,8,35
32,2,23,10,87,96,63,30,52,20,32,81,34,1,17,85,92,84,5,57,12,15,67,64,96,51,35,60,56,62,14,9,37,70,33,10,98,84,76,75,92,80,3,57,83,100,32,46,84,77,41,13,57,27,69,96,62,0,81,13,88,8,68,38,84,86,22,31,25,26,21,99,34,54,5,60,26,53,16,85,99,78,26,97,74,60,58,62,56,91,78,72,31,76,58,11,59,70,23,20,54,10,74,47,18,23,19,78,6,43,1,12,65,10,52,41,98,7,93,1,55,7,31,76,49,14,65,23,48,88,35,74,97,46,69,88,52,33,39,89,44,92,92,55,46,82,1,61,18,94,68,81,44,13,64,58,7,37,64,13,92,53,32,3,49,9,51,72,60,18,3,12,75,18,87,84,27,14,35,89,90,83,3,12,4,22,79,66,83,23,26,23,61,3,29,33,62,45,93,69
71,39,32,14,58,88,9,9,68,33,81,52,72,62,19,69,38,84,48,39,92,78,83,39,75,35,13,96,75,45,90,51,61,96,97,9,68,91,12,47,27,70,61,87,75,63,46,85,82,19,45,23,94,100,56,18,62,23,0,62,76,29,55,86,61,63,7,40,71,7,49,53,98,25,96,70,44,28,67,73,47,71,34,39,18,46,84,97,66,30,52,7,36,7,94,35,81,45,57,22,30,91,6,73,92,69,85,38,63,64,7,85,83,7,30,98,45,21,80,82,87,56,7,76,74,42,40,73,83,8,76,86,88,29,33,97,6,31,68,2,23,24,25,79,27,66,53,13,70,69,57,19,89,46,52,36,81,42,28,64,14,24,100,61,16,62,17,99,32,48,95,60,10,32,9,74,8,50,69,32,83,32,36,78,36,65,49,4,99,13,24,10,38,8,63,18,71,68,13,57
77,96,95,77,92,95,62,73,56,61,94,64,23,61,69,42,29,4,39,62,20,5,97,51,94,84,14,11,70,68,59,73,23,42,28,34,77,59,69,64,67,32,62,51,30,23,55,34,15,11,45,61,30,62,4,81,67,100,82,0,3,71,95,44,82,2,78,83,30,100,79,85,58,54,49,13,56,33,56,50,23,28,23,94,65,31,5,17,54,45,59,87,25,84,31,18,37,39,73,6,40,90,24,29,26,80,43,79,2,49,16,69,26,38,48,32,46,54,24,35,71,93,6,51,50,68,81,15,73,66,89,15,66,95,81,27,75,8,9,26,97,18,31,33,40,11,57,83,61,43,51,52,81,33,15,8,15,86,48,53,32,72,78,39,55,27,47,98,91,99,63,58,80,54,73,41,67,57,14,92,68,43,45,61,92,29,56,26,27,92,22,20,25,18,7,30,52,15,96,61
92,26,6,38,79,42,33,25,40,64,79,58,86,93,96,99,89,28,98,78,65,23,30,72,33,60,93,27,85,83,28,78,66,100,62,57,22,6,78,83,21,64,71,17,91,13,89,18,27,82,43,36,62,64,60,99,62,5,67,86,0,69,46,54,65,90,39,26,4,2,48,52,50,93,89,7,66,51,10,10,21,60,80,96,96,45,59,8,50,94,77,99,44,100,89,38,23,74,61,62,41,63,26,34,92,72,48,89,57,57,94,7,76,33,3,28,81,47,26,41,94,5,43,67,73,79,83,22,95,66,86,77,92,98,12,1,47,45,15,50,34,61,75,86,59,87,69,87,86,68,32,12,19,84,59,34,12,65,96,12,18,55,22,13,48,84,90,89,27,92,6,84,12,42,44,75,78,86,29,20,49,85,87,100,79,33,8,25,64,95,91,88,35,40,47,13,89,45,21,99
